Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
weaponRackBlueCyanPlayer,blocks,Block,,,x,Weapon Rack (Blue Cyan),,Waffenständer (Blau-Cyan),Armero (Azul cian),Râtelier d’armes (Bleu cyan),Rastrelliera per armi (Blu ciano),武器ラック (青シアン),무기 거치대 (파란 청록색),Stojak na broń (Niebiesko-cyjanowy),Suporte de armas (Azul-ciano),Оружейная стойка (Сине-голубая),Silah Rafı (Mavi camgöbeği),武器架 (蓝青色),武器架 (藍青色)
weaponRackBluePlayer,blocks,Block,,,x,Weapon Rack (Blue),,Waffenständer (Blau),Armero (Azul),Râtelier d’armes (Bleu),Rastrelliera per armi (Blu),武器ラック (青),무기 거치대 (파란색),Stojak na broń (Niebieski),Suporte de armas (Azul),Оружейная стойка (Синяя),Silah Rafı (Mavi),武器架 (蓝色),武器架 (藍色)
weaponRackBlueMagentaPlayer,blocks,Block,,,x,Weapon Rack (Blue Magenta),,Waffenständer (Blau-Magenta),Armero (Azul magenta),Râtelier d’armes (Bleu magenta),Rastrelliera per armi (Blu magenta),武器ラック (青マゼンタ),무기 거치대 (파란 마젠타),Stojak na broń (Niebiesko-magenta),Suporte de armas (Azul-magenta),Оружейная стойка (Сине-пурпурная),Silah Rafı (Mavi macenta),武器架 (蓝洋红色),武器架 (藍洋紅色)
weaponRackMagentaPlayer,blocks,Block,,,x,Weapon Rack (Magenta),,Waffenständer (Magenta),Armero (Magenta),Râtelier d’armes (Magenta),Rastrelliera per armi (Magenta),武器ラック (マゼンタ),무기 거치대 (마젠타),Stojak na broń (Magenta),Suporte de armas (Magenta),Оружейная стойка (Пурпурная),Silah Rafı (Macenta),武器架 (洋红色),武器架 (洋紅色)
weaponRackMagentaRedPlayer,blocks,Block,,,x,Weapon Rack (Magenta Red),,Waffenständer (Magentarot),Armero (Magenta rojo),Râtelier d’armes (Magenta rouge),Rastrelliera per armi (Magenta rosso),武器ラック (赤紫),무기 거치대 (적자색),Stojak na broń (Czerwono-magenta),Suporte de armas (Magenta-vermelho),Оружейная стойка (Пурпурно-красная),Silah Rafı (Macenta kırmızısı),武器架 (洋红色),武器架 (洋紅色)
weaponRackPlayerDesc,blocks,Block,,,x,Weapon racks display the weapons and tools stored inside.,,Waffenständer zeigen die darin gelagerten Waffen und Werkzeuge an.,Los armeros muestran las armas y herramientas almacenadas en su interior.,Les râteliers d’armes affichent les armes et outils stockés à l’intérieur.,Le rastrelliere per armi mostrano le armi e gli strumenti conservati al loro interno.,武器ラックには保管された武器と工具が表示されます。,무기 거치대에는 안에 보관된 무기와 도구가 표시됩니다.,Stojaki na broń wyświetlają przechowywaną w nich broń i narzędzia.,Os suportes de armas exibem as armas e ferramentas guardadas dentro deles.,Оружейные стойки отображают хранящееся в них оружие и инструменты.,"Silah rafları, içinde depolanan silahları ve araçları sergiler.",武器架会展示其中存放的武器和工具。,武器架會展示其中存放的武器和工具。
blockcommand_rotateWR_Rotate,blocks,Block,,,x,Rotate,,Drehen,Girar,Tourner,Ruota,回転,회전,Obróć,Girar,Повернуть,Döndür,旋转,旋轉
blockcommand_rotateWR_Flip,blocks,Block,,,x,Flip Direction,,Ausrichtung spiegeln,Invertir dirección,Inverser la direction,Inverti direzione,方向を反転,방향 반전,Odwróć kierunek,Inverter direção,Изменить направление,Yönü Ters Çevir,反转方向,反轉方向
blockcommand_rotateWR_Tilt,blocks,Block,,,x,Tilt,,Neigen,Inclinar,Incliner,Inclina,傾ける,기울이기,Pochyl,Inclinar,Наклонить,Eğ,倾斜,傾斜
blockcommand_rotateWR_Reset,blocks,Block,,,x,Reset Rotation,,Drehung zurücksetzen,Restablecer rotación,Réinitialiser la rotation,Reimposta rotazione,回転をリセット,회전 초기화,Resetuj obrót,Redefinir rotação,Сбросить поворот,Dönüşü Sıfırla,重置旋转,重設旋轉
blockcommand_rotateWR_X,blocks,Block,,,x,Fine Rotate X,,Feine Drehung X,Ajuste fino X,Rotation fine X,Rotazione fine X,微調整 X,미세 회전 X,Precyzyjny obrót X,Ajuste fino X,Точная настройка X,İnce Döndürme X,微调旋转 X,微調旋轉 X
blockcommand_rotateWR_Y,blocks,Block,,,x,Fine Rotate Y,,Feine Drehung Y,Ajuste fino Y,Rotation fine Y,Rotazione fine Y,微調整 Y,미세 회전 Y,Precyzyjny obrót Y,Ajuste fino Y,Точная настройка Y,İnce Döndürme Y,微调旋转 Y,微調旋轉 Y
blockcommand_rotateWR_Z,blocks,Block,,,x,Fine Rotate Z,,Feine Drehung Z,Ajuste fino Z,Rotation fine Z,Rotazione fine Z,微調整 Z,미세 회전 Z,Precyzyjny obrót Z,Ajuste fino Z,Точная настройка Z,İnce Döndürme Z,微调旋转 Z,微調旋轉 Z
