Key,File,Type,UsedInMainMenu,NoTranslate,english
sectionalPlaidChair,blocks,Block,,,"Sectional Plaid Chair [e599e4](FHD)[-]"
parkBenchSonjaVariantHelper,blocks,Block,,,"Classic Bench Variants [e599e4](FHD)[-]"
restaurantBoothSonjaVariantHelper,blocks,Block,,,"Restaurant Booth Variants [e599e4](FHD)[-]"
theaterSeatSonjaVariantHelper,blocks,Block,,,"Theater Seats Variants [e599e4](FHD)[-]"

bicycleDecoSonjaVariantHelper,blocks,Block,,,"Decorative Bicycle Variants [e599e4](FHD)[-]"
bicycleDecoSonjaVariantHelperDesc,blocks,Block,,,"Decorative Bicycle Variants.\n\nHang it on a wall or wherever you want"
bicycleDecoSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoRedSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoOrangeSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoYellowSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoGreenSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoBlueSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoPurpleSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoBlackSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
bicycleDecoPinkSonja,blocks,Block,,,"Decorative Bicycle [e599e4](FHD)[-]"
motorcycleDecoSonjaVariantHelper,blocks,Block,,,"Decorative Motorcycle Variants [e599e4](FHD)[-]"
motorcycleDecoSonjaVariantHelperDesc,blocks,Block,,,"Decorative Motorcycle Variants.\n\nYou cannot ride it but it looks awesome, doesn't it?"
motorcycleDecoSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoRedSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoOrangeSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoYellowSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoGreenSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoBlueSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoPurpleSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoBlackSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
motorcycleDecoPinkSonja,blocks,Block,,,"Decorative Motorcycle [e599e4](FHD)[-]"
4x4DecoSonjaVariantHelper,blocks,Block,,,"Decorative 4x4 Variants [e599e4](FHD)[-]"
4x4DecoSonjaVariantHelperDesc,blocks,Block,,,"Decorative 4x4 Variants.\n\nYou cannot drive it but it looks awesome, doesn't it?"
4x4DecoSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoRedSonja,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoOrangeSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoYellowSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoGreenSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoBlueSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoPurpleSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoBlackSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
4x4DecoPinkSonja,blocks,Block,,,"Decorative 4x4 [e599e4](FHD)[-]"
gyrocopterDecoSonjaVariantHelper,blocks,Block,,,"Decorative Gyrocopter Variants [e599e4](FHD)[-]"
gyrocopterDecoSonjaVariantHelperDesc,blocks,Block,,,"Decorative Gyrocopter Variants.\n\nIt does not fly, so no risk to jump off and break a leg or crash it."
gyrocopterDecoSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoRedSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoOrangeSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoYellowSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoGreenSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoBlueSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoPurpleSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoBlackSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"
gyrocopterDecoPinkSonja,blocks,Block,,,"Decorative Gyrocopter [e599e4](FHD)[-]"


decoVehicleVanillaSonjaDesc,blocks,Block,"Decorative Vehicle, you cannot drive it, but it looks cool and it does not explode"
decoVehicleSedanPurpleSonja,blocks,Block,"Decorative Vehicle [e599e4](FHD)[-]"
decoVehicleSedanGreySonja,blocks,Block,"Decorative Vehicle [e599e4](FHD)[-]"
decoVehicleSedanBlackSonja,blocks,Block,"Decorative Vehicle [e599e4](FHD)[-]"
decoVehicleSedanPinkSonja,blocks,Block,"Decorative Vehicle [e599e4](FHD)[-]"


extHouseDoorSonjaVariantHelper,blocks,Block,,,"Exterior Doors [e599e4](FHD)[-]"
exteriorHouseDoorWhiteSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorBrownSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorRedSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorOrangeSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorYellowSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorGreenSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorBlueSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorPurpleSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorPurpleSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorGreySonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorPinkSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"
exteriorHouseDoorOakSonja,blocks,Block,,,"Exterior Door [e599e4](FHD)[-]"

extHouseDoorDoubleSonjaVariantHelper,blocks,Block,,,"Exterior Double Doors [e599e4](FHD)[-]"
exteriorHouseDoorDoubleWhiteSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleBrownSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleRedSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleOrangeSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleYellowSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleGreenSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleBlueSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoublePurpleSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoublePurpleSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleGreySonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoublePinkSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"
exteriorHouseDoorDoubleOakSonja,blocks,Block,,,"Exterior Double Door [e599e4](FHD)[-]"

frenchDoorSonjaVariantHelper,blocks,Block,,,"French Doors [e599e4](FHD)[-]"
frenchDoorWhiteSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorBrownSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorRedSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorOrangeSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorYellowSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorGreenSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorBlueSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorPurpleSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorGreySonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorPinkSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"
frenchDoorOakSonja,blocks,Block,,,"French Door [e599e4](FHD)[-]"

frenchDoorDoubleSonjaVariantHelper,blocks,Block,,,"French Double Doors [e599e4](FHD)[-]"
frenchDoorDoubleWhiteSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleBrownSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleRedSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleOrangeSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleYellowSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleGreenSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleBlueSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoublePurpleSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleGreySonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoublePinkSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"
frenchDoorDoubleOakSonja,blocks,Block,,,"French Double Door [e599e4](FHD)[-]"

intHouseDoorSonjaVariantHelper,blocks,Block,,,"Interior Doors [e599e4](FHD)[-]"
interiorHouseDoorWhiteSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorBrownSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorRedSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorOrangeSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorYellowSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorGreenSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorBlueSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorPurpleSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorGreySonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"
interiorHouseDoorOakSonja,blocks,Block,,,"Interior Door [e599e4](FHD)[-]"

intHouseDoorDoubleSonjaVariantHelper,blocks,Block,,,"Interior Double Doors [e599e4](FHD)[-]"
interiorHouseDoorDoubleWhiteSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleBrownSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleRedSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleOrangeSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleYellowSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleGreenSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleBlueSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoublePurpleSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleGreySonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"
interiorHouseDoorDoubleOakSonja,blocks,Block,,,"Interior Double Door [e599e4](FHD)[-]"

tallCabinetDoorSonjaVariantHelper,blocks,Block,,,"Cabinet Doors [e599e4](FHD)[-]"
tallCabinetDoorWhiteSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorBrownSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorRedSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorOrangeSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorYellowSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorGreenSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorBlueSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorPurpleSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorGreySonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorBlackSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"
tallCabinetDoorPinkSonja,blocks,Block,,,"Cabinet Door [e599e4](FHD)[-]"

closetDoorSonjaVariantHelper,blocks,Block,,,"Closet Doors [e599e4](FHD)[-]"
closetDoorWhiteSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorBrownSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorRedSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorOrangeSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorYellowSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorGreenSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorBlueSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorPurpleSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorGreySonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"
closetDoorPinkSonja,blocks,Block,,,"Closet Door [e599e4](FHD)[-]"

closetDoorDoubleSonjaVariantHelper,blocks,Block,,,"Closet Double Doors [e599e4](FHD)[-]"
closetDoorDoubleWhiteSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleBrownSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleRedSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleOrangeSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleYellowSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleGreenSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleBlueSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoublePurpleSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoubleGreySonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"
closetDoorDoublePinkSonja,blocks,Block,,,"Closet Double Door [e599e4](FHD)[-]"

pantryDoorSonjaVariantHelper,blocks,Block,,,"Pantry Doors [e599e4](FHD)[-]"
pantryDoorWhiteSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorBrownSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorRedSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorOrangeSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorYellowSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorGreenSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorBlueSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorPurpleSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorGreySonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"
pantryDoorPinkSonja,blocks,Block,,,"Pantry Door [e599e4](FHD)[-]"

glassDoorSonjaVariantHelper,blocks,Block,,,"Glass Doors [e599e4](FHD)[-]"
commercialGlassDoorSonja,blocks,Block,,,"Commercial Glass Door [e599e4](FHD)[-]"
commercialGlassDoorDoubleSonja,blocks,Block,,,"Commercial Double Glass Door [e599e4](FHD)[-]"
commercialSlidingDoorSonja,blocks,Block,,,"Commercial Sliding Door [e599e4](FHD)[-]"
houseSlidingDoorWhiteSonja,blocks,Block,,,"House Sliding Door [e599e4](FHD)[-]"
houseSlidingDoorBlackSonja,blocks,Block,,,"House Sliding Black Door [e599e4](FHD)[-]"

extDoorSideLightSonjaVariantHelper,blocks,Block,,,"Side-Glass Doors [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleWhiteSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleBrownSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleRedSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleOrangeSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleYellowSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleGreenSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleBlueSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSinglePurpleSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleGreySonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSinglePinkSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightSingleOakSonja,blocks,Block,,,"Side-Glass Single Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightWhiteSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightBrownSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightRedSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightOrangeSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightYellowSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightGreenSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightBlueSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightPurpleSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightGreySonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightPinkSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"
exteriorHouseDoorSideLightOakSonja,blocks,Block,,,"Side-Glass Door [e599e4](FHD)[-]"

bulletproofGlassDoorsSonjaVariantHelper,blocks,Block,,,"Bulletproof Doors [e599e4](FHD)[-]"
commercialBulletproofSlidingDoorSonja,blocks,Block,,,"Bulletproof Sliding Door [e599e4](FHD)[-]"
commercialBulletproofGlassDoorSonja,blocks,Block,,,"Bulletproof Door [e599e4](FHD)[-]"
commercialBulletproofGlassDoorDoubleSonja,blocks,Block,,,"Bulletproof Double Door [e599e4](FHD)[-]"

woodenFenceDoorSonjaVariantHelper,blocks,Block,,,"Sonja Wood Fence Doors [e599e4](FHD)[-]"
woodenFenceDoorWhiteSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorBrownSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorRedSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorOrangeSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorYellowSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorGreenSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorBlueSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorPurpleSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorGreySonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"
woodenFenceDoorPinkSonja,blocks,Block,,,"Wood Fence Door [e599e4](FHD)[-]"

commercialMetalDoorSingleSonjaVariantHelper,blocks,Block,,,"Metal Door Variants [e599e4](FHD)[-]"
commercialMetalDoorDoubleSonjaVariantHelper,blocks,Block,,,"Double Metal Door Variants [e599e4](FHD)[-]"

trailerDoorSonjaVariantHelper,blocks,Block,,,"Trailer Doors [e599e4](FHD)[-]"
trailerDoorWhiteSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorBrownSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorRedSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorOrangeSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorYellowSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorGreenSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorBlueSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorPurpleSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorGreySonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorBlackSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorPinkSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"
trailerDoorArmyGreenSonja,blocks,Block,,,"Trailer Door [e599e4](FHD)[-]"

superVillainDoorSonjaVariantHelper,blocks,Block,,,"Super Villain Doors [e599e4](FHD)[-]"
superVillainDoorSonja_Powered_VariantHelper,blocks,Block,,,"Super Villain Powered Doors [e599e4](FHD)[-]"
superVillainDoorSonjaVariantHelperDesc,blocks,Block,,,"The ideal solution for your Volcano Base, the 'Evil Genius 3000' doors are the ultimate line of defense to protect your vault.\n\nFully capable of keeping even the most resilient intruders away, or to keep your prisoners inside.\n\nHold R to select the variant you want to place."
superVillainDoorSonja,blocks,Block,,,"Super Villain Door [e599e4](FHD)[-]"
superVillainDoorSonjaDesc,blocks,Block,,,"The ideal solution for your Volcano Base, the 'Evil Genius 3000' doors are the ultimate line of defense to protect your vault.\n\nFully capable of keeping even the most resilient intruders away, or to keep your prisoners inside."
superVillainDoubleDoorSonja,blocks,Block,,,"Super Villain Double Door [e599e4](FHD)[-]"
superVillainDoorSonja_Powered,blocks,Block,,,"Super Villain Powered Door [e599e4](FHD)[-]"
superVillainDoubleDoorSonja_Powered,blocks,Block,,,"Super Villain Powered Double Door [e599e4](FHD)[-]"

securityRollUpSonjaVariantHelper,blocks,Block,,,"Security Roll Up Door Variants [e599e4](FHD)[-]"

secretStorageSonjaVariantHelper,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageSonjaVariantHelperDesc,blocks,Block,,,"It looks like a common picture but...wait, what is this!? A Secret Storage!\nKeep thieves away from your goodies with this all-in-one lockable secure storage behind your favorite picture.\n\nPut it in your toolbar and hold R to choose the Variant you want."
secretStorageIronSonja_01t,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01a,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
